[2026-02-20T05:59:02.366+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-20T05:59:02.384+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-20T05:58:00+00:00 [queued]>
[2026-02-20T05:59:02.388+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-20T05:58:00+00:00 [queued]>
[2026-02-20T05:59:02.388+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-20T05:59:02.395+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-20 05:58:00+00:00
[2026-02-20T05:59:02.401+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-20T05:58:00+00:00', '--job-id', '364', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpa2hqcm5x']
[2026-02-20T05:59:02.402+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=34840) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-20T05:59:02.403+0000] {standard_task_runner.py:64} INFO - Started process 34852 to run task
[2026-02-20T05:59:02.403+0000] {standard_task_runner.py:91} INFO - Job 364: Subtask download_minio
[2026-02-20T05:59:02.439+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-20T05:58:00+00:00 [running]> on host 0c2666b81705
[2026-02-20T05:59:02.499+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-20T05:58:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-20T05:58:00+00:00'
[2026-02-20T05:59:02.501+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-20T05:59:02.785+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771533416.json -> /tmp/minio_downloads/1771533416.json
[2026-02-20T05:59:02.789+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771533424.json -> /tmp/minio_downloads/1771533424.json
[2026-02-20T05:59:02.794+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771533432.json -> /tmp/minio_downloads/1771533432.json
[2026-02-20T05:59:02.797+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771533440.json -> /tmp/minio_downloads/1771533440.json
[2026-02-20T05:59:02.801+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771533447.json -> /tmp/minio_downloads/1771533447.json
